uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release
e489f56d-9eb9-4746-a62f-2d12cad877e9,D01,HARV,HARV_005,HARV_005.basePlot.bgc,2022-10-12T16:27:00Z,2022-10-12T16:27:00Z,2022-10-21,HARV_005-O-41-20221012,A00000153399,HARV_005-O-41-20221012-PH,NEON.DOC.014048vO,O,3.35,2.81,2.6,20,7.7,2.6,40,15.4,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
197e1e3e-be2a-4900-b591-478befa21dc2,D01,HARV,HARV_021,HARV_021.basePlot.bgc,2022-10-12T17:19:00Z,2022-10-12T17:19:00Z,2022-10-21,HARV_021-O-39-20221012,A00000153416,HARV_021-O-39-20221012-PH,NEON.DOC.014048vO,O,3.77,3.03,2.6,20,7.8,2.6,40,15.7,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
a807651d-2a20-4366-b180-c0053c5d550a,D01,HARV,HARV_021,HARV_021.basePlot.bgc,2022-10-12T17:36:00Z,2022-10-12T17:36:00Z,2022-10-21,HARV_021-O-21-20221012,A00000153415,HARV_021-O-21-20221012-PH,NEON.DOC.014048vO,O,3.15,2.6,2.6,20,7.8,2.6,40,15.7,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
a89764c3-8ea4-4cca-a3ca-24ffaa24bac3,D01,HARV,HARV_021,HARV_021.basePlot.bgc,2022-10-12T17:59:00Z,2022-10-12T17:59:00Z,2022-10-21,HARV_021-O-41-20221012,A00000153417,HARV_021-O-41-20221012-PH,NEON.DOC.014048vO,O,4.03,3.19,2.5,20,8.1,2.5,40,16.2,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
7aa333a0-7a38-4501-ad5b-16e6162b3461,D01,HARV,HARV_004,HARV_004.basePlot.bgc,2022-10-13T13:21:00Z,2022-10-13T13:21:00Z,2022-10-20,HARV_004-O-21-20221013,A00000153397,HARV_004-O-21-20221013-PH,NEON.DOC.014048vO,O,3.92,3.27,2.5,20,8.1,2.5,40,16.1,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
0b430b13-e816-4ee2-b935-cab4fe4c863f,D01,HARV,HARV_004,HARV_004.basePlot.bgc,2022-10-13T13:39:00Z,2022-10-13T13:39:00Z,2022-10-20,HARV_004-O-23-20221013,A00000153398,HARV_004-O-23-20221013-PH,NEON.DOC.014048vO,O,4.15,3.5,2.6,20,7.8,2.6,40,15.6,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
99332218-5605-4015-bcbc-194e2949352a,D01,HARV,HARV_004,HARV_004.basePlot.bgc,2022-10-13T14:05:00Z,2022-10-13T14:05:00Z,2022-10-20,HARV_004-O-39-20221013,A00000153414,HARV_004-O-39-20221013-PH,NEON.DOC.014048vO,O,3.8,3.52,2.6,20,7.8,2.6,40,15.6,NA,0000-0003-3463-8507,NA,20251217T193548Z,RELEASE-2026
a2b659be-db47-448a-8fc0-eaf1c42145a0,D01,HARV,HARV_033,HARV_033.basePlot.bgc,2022-04-15T12:47:00Z,2022-04-15T12:47:00Z,2022-05-06,HARV_033-O-39-20220415,A00000152994,HARV_033-O-39-20220415-PH,NEON.DOC.014048vO,O,4.09,3.32,2.5,20,8.1,2.5,40,16.2,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
e65997f7-3b63-470e-9500-b6b44a0a2e8e,D01,HARV,HARV_033,HARV_033.basePlot.bgc,2022-04-15T13:20:00Z,2022-04-15T13:20:00Z,2022-05-06,HARV_033-O-41-20220415,A00000152992,HARV_033-O-41-20220415-PH,NEON.DOC.014048vO,O,4.14,3.43,2.5,20,8.1,2.5,40,16.3,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
c8a44dba-2925-43df-b36e-4b22e48c5dd6,D01,HARV,HARV_033,HARV_033.basePlot.bgc,2022-04-15T13:36:00Z,2022-04-15T13:36:00Z,2022-05-06,HARV_033-O-23-20220415,A00000152993,HARV_033-O-23-20220415-PH,NEON.DOC.014048vO,O,4.04,3.35,1.7,20,11.8,1.7,40,23.7,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
5e7d70c0-d7df-4476-af91-b027b8c89c48,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2022-04-15T14:19:00Z,2022-04-15T14:19:00Z,2022-05-09,HARV_035-O-21-20220415,A00000153453,HARV_035-O-21-20220415-PH,NEON.DOC.014048vO,O,3.29,2.75,2.5,20,7.9,2.5,40,15.9,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
fd1073dc-10f8-4ebc-bc1d-2e503dd19fa3,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2022-04-15T14:38:00Z,2022-04-15T14:38:00Z,2022-05-09,HARV_035-O-39-20220415,A00000153455,HARV_035-O-39-20220415-PH,NEON.DOC.014048vO,O,3.27,2.8,2.4,20,8.2,2.4,40,16.5,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
3deb546c-bc54-42df-9e4d-789e1c722323,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2022-04-15T14:58:00Z,2022-04-15T14:58:00Z,2022-05-09,HARV_035-O-41-20220415,A00000153454,HARV_035-O-41-20220415-PH,NEON.DOC.014048vO,O,3.19,2.61,2.5,20,7.9,2.5,40,15.7,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
bc7bb93e-023b-4e8b-8f3a-fdc4652912a5,D01,HARV,HARV_037,HARV_037.basePlot.bgc,2022-04-15T16:12:00Z,2022-04-15T16:12:00Z,2022-05-06,HARV_037-O-39-20220415,A00000153460,HARV_037-O-39-20220415-PH,NEON.DOC.014048vO,O,3.54,2.92,2.5,20,8.1,2.5,40,16.3,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
aa0b10a1-357a-49da-87f1-4637516460eb,D01,HARV,HARV_037,HARV_037.basePlot.bgc,2022-04-15T16:39:00Z,2022-04-15T16:39:00Z,2022-05-06,HARV_037-O-23-20220415,A00000153461,HARV_037-O-23-20220415-PH,NEON.DOC.014048vO,O,3.66,3,2.4,20,8.3,2.4,40,16.7,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
eb2452f1-24f5-4ab2-bfcb-3d8c4286487a,D01,HARV,HARV_037,HARV_037.basePlot.bgc,2022-04-15T16:59:00Z,2022-04-15T16:59:00Z,2022-05-06,HARV_037-O-41-20220415,A00000153459,HARV_037-O-41-20220415-PH,NEON.DOC.014048vO,O,3.65,3.18,2.4,20,8.2,2.4,40,16.4,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
f0915746-37de-412a-9827-636d2a1cef9c,D01,HARV,HARV_034,HARV_034.basePlot.bgc,2022-04-15T17:28:00Z,2022-04-15T17:28:00Z,2022-05-06,HARV_034-O-41-20220415,A00000153458,HARV_034-O-41-20220415-PH,NEON.DOC.014048vO,O,3.17,2.58,2.6,20,7.8,2.6,40,15.6,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
a410e54c-542a-4fed-bf79-4111009e95e6,D01,HARV,HARV_034,HARV_034.basePlot.bgc,2022-04-15T17:47:00Z,2022-04-15T17:47:00Z,2022-05-06,HARV_034-O-39-20220415,A00000152995,HARV_034-O-39-20220415-PH,NEON.DOC.014048vO,O,4.07,3.34,2,20,10.2,2,40,20.3,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
81012722-26bb-4ebb-9455-442b52dcaad9,D01,HARV,HARV_034,HARV_034.basePlot.bgc,2022-04-15T18:11:00Z,2022-04-15T18:11:00Z,2022-05-06,HARV_034-O-21-20220415,A00000153456,HARV_034-O-21-20220415-PH,NEON.DOC.014048vO,O,3.53,2.82,2.4,20,8.3,2.4,40,16.6,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
cc453694-a823-4fb9-b5a2-3ffa9ce04327,D01,HARV,HARV_013,HARV_013.basePlot.bgc,2022-04-16T13:34:00Z,2022-04-16T13:34:00Z,2022-05-09,HARV_013-O-39-20220416,A00000153007,HARV_013-O-39-20220416-PH,NEON.DOC.014048vO,O,4.71,4.03,2.4,20,8.2,2.4,40,16.5,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
75a928df-874e-4a9e-90da-0695fdfc7e4f,D01,HARV,HARV_013,HARV_013.basePlot.bgc,2022-04-16T14:25:00Z,2022-04-16T14:25:00Z,2022-05-09,HARV_013-O-41-20220416,A00000153005,HARV_013-O-41-20220416-PH,NEON.DOC.014048vO,O,3.96,3.42,2.4,20,8.3,2.4,40,16.5,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
2d738872-1bf7-43fe-926c-3b9de2daa17b,D01,HARV,HARV_013,HARV_013.basePlot.bgc,2022-04-16T15:00:00Z,2022-04-16T15:00:00Z,2022-05-09,HARV_013-O-21-20220416,A00000153006,HARV_013-O-21-20220416-PH,NEON.DOC.014048vO,O,4.08,3.45,2.5,20,7.9,2.5,40,15.7,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
97af3743-a989-47a8-a47e-037a04a21b0f,D01,HARV,HARV_004,HARV_004.basePlot.bgc,2022-04-16T16:15:00Z,2022-04-16T16:15:00Z,2022-05-09,HARV_004-O-39-20220416,A00000153021,HARV_004-O-39-20220416-PH,NEON.DOC.014048vO,O,4.18,3.49,2.5,20,7.9,2.5,40,15.8,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
9b25c58c-592c-4cba-872b-9f765afb0da0,D01,HARV,HARV_004,HARV_004.basePlot.bgc,2022-04-16T16:39:00Z,2022-04-16T16:39:00Z,2022-05-09,HARV_004-O-41-20220416,A00000153071,HARV_004-O-41-20220416-PH,NEON.DOC.014048vO,O,4.62,4,2.4,20,8.2,2.4,40,16.4,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
90b527d5-e8f4-45f4-9881-3366c4f6e9dd,D01,HARV,HARV_004,HARV_004.basePlot.bgc,2022-04-16T16:47:00Z,2022-04-16T16:47:00Z,2022-05-09,HARV_004-O-23-20220416,A00000153070,HARV_004-O-23-20220416-PH,NEON.DOC.014048vO,O,4.59,3.92,2.4,20,8.2,2.4,40,16.5,NA,0000-0003-3463-8507,NA,20251217T193919Z,RELEASE-2026
